Time,Temperature,Humidity
1660387086.4697905,24,36
1660387102.7721126,24,36
1660387117.8844132,24,36
1660387132.9995613,24,36
1660387148.1171448,24,36
1660387163.2348776,24,36
1660387178.3419578,24,35
1660387193.4538052,24,36
1660387208.566253,24,36
1660387224.8098805,24,37
1660387239.9185858,24,38
1660387257.2960892,24,37
1660387272.4078517,24,37
1660387288.724339,24,36
1660387303.840627,24,36
1660387318.9586306,24,36
1660387334.0733905,24,35
1660387349.186428,24,35
1660387364.299938,24,36
1660387379.407741,24,36
1660387394.5303338,24,36
1660387409.6333714,24,35
1660387424.7437074,24,46
1660387439.8654144,25,95
1660387454.9775505,26,95
1660387471.2762778,26,41
1660387486.4493,26,41
1660387501.5816064,25,36
1660387516.6901639,25,35
1660387532.9642189,25,35
1660387548.1122386,25,35
1660387563.228328,24,35
1660387578.3405125,24,36
1660387593.4742157,24,35
1660387608.5964546,24,35
1660387626.1524913,24,36
1660387642.4241917,24,35
1660387657.5354228,24,35
1660387672.706142,24,35
1660387688.9557312,24,35
1660387704.067066,24,35
1660387719.1791039,24,35
1660387734.2941053,24,35
1660387753.2197323,24,35
1660387768.343542,24,35
1660387783.4629307,24,34
