Zeit,Temperatur,Luftfeuchtigkeit
2022-08-13 13:23:02.219420,24,32
2022-08-13 13:23:12.345594,24,32
2022-08-13 13:23:22.468995,24,32
2022-08-13 13:23:32.593116,24,32
2022-08-13 13:23:42.711189,24,33
2022-08-13 13:23:53.988564,24,32
2022-08-13 13:24:04.092217,24,33
2022-08-13 13:24:14.240317,25,32
2022-08-13 13:24:24.349654,24,32
2022-08-13 13:24:34.471195,24,32
2022-08-13 13:24:44.592459,24,32
2022-08-13 13:24:54.713820,24,32
2022-08-13 13:25:04.813652,24,32
2022-08-13 13:25:14.919856,24,32
2022-08-13 13:25:25.026242,24,32
2022-08-13 13:25:35.125162,24,32
2022-08-13 13:25:45.228598,24,32
2022-08-13 13:25:55.357831,24,32
2022-08-13 13:26:05.489368,24,32
2022-08-13 13:26:15.591413,24,33
2022-08-13 13:26:25.707788,24,33
2022-08-13 13:26:35.815067,24,32
2022-08-13 13:26:45.929512,24,33
2022-08-13 13:26:56.053432,24,32
2022-08-13 13:27:08.502643,24,33
2022-08-13 13:27:18.605191,24,33
2022-08-13 13:27:29.964025,24,32
2022-08-13 13:27:40.069449,24,32
2022-08-13 13:27:50.174073,24,32
2022-08-13 13:28:00.273623,24,32
2022-08-13 13:28:10.395590,24,32
2022-08-13 13:28:20.492601,24,33
2022-08-13 13:28:30.599565,24,33
2022-08-13 13:28:40.714578,24,33
2022-08-13 13:28:50.816031,24,33
2022-08-13 13:29:00.920061,24,34
2022-08-13 13:29:11.024368,24,34
2022-08-13 13:29:21.121735,24,35
2022-08-13 13:29:31.227234,24,34
2022-08-13 13:29:41.331374,24,34
2022-08-13 13:29:52.638049,24,34
